Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.53     0.00        1     0.00     0.00  std::vector<long, std::allocator<long> >::_S_check_init_len(unsigned long, std::allocator<long> const&)
  0.00      9.53     0.00        1     0.00     0.00  std::vector<long, std::allocator<long> >::_M_fill_initialize(unsigned long, long const&)
  0.00      9.53     0.00        1     0.00     0.00  std::vector<long, std::allocator<long> >::vector(unsigned long, long const&, std::allocator<long> const&)
  0.00      9.53     0.00        1     0.00     0.00  std::vector<long, std::allocator<long> >::~vector()
  0.00      9.53     0.00        1     0.00     0.00  std::ios_base::precision(long)
  0.00      9.53     0.00        1     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      9.53     0.00        1     0.00     0.00  long* std::__fill_n_a<long*, unsigned long, long>(long*, unsigned long, long const&, std::random_access_iterator_tag)
  0.00      9.53     0.00        1     0.00     0.00  double std::accumulate<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double)
  0.00      9.53     0.00        1     0.00     0.00  std::iterator_traits<double*>::iterator_category std::__iterator_category<double*>(double* const&)
  0.00      9.53     0.00        1     0.00     0.00  std::iterator_traits<long*>::iterator_category std::__iterator_category<long*>(long* const&)
  0.00      9.53     0.00        1     0.00     0.00  double* std::uninitialized_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      9.53     0.00        1     0.00     0.00  long* std::uninitialized_fill_n<long*, unsigned long, long>(long*, unsigned long, long const&)
  0.00      9.53     0.00        1     0.00     0.00  double* std::__uninitialized_fill_n_a<double*, unsigned long, double, double>(double*, unsigned long, double const&, std::allocator<double>&)
  0.00      9.53     0.00        1     0.00     0.00  long* std::__uninitialized_fill_n_a<long*, unsigned long, long, long>(long*, unsigned long, long const&, std::allocator<long>&)
  0.00      9.53     0.00        1     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      9.53     0.00        1     0.00     0.00  long* std::fill_n<long*, unsigned long, long>(long*, unsigned long, long const&)
  0.00      9.53     0.00        1     0.00     0.00  void std::_Destroy<long*>(long*, long*)
  0.00      9.53     0.00        1     0.00     0.00  void std::_Destroy<long*, long>(long*, long*, std::allocator<long>&)
  0.00      9.53     0.00        1     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      9.53     0.00        1     0.00     0.00  void std::__fill_a<long*, long>(long*, long*, long const&)
  0.00      9.53     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
  0.00      9.53     0.00        1     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<long>::__value, void>::__type std::__fill_a1<long*, long>(long*, long*, long const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.10% of 9.53 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     89.6    0.00    8.54                 main [1]
                0.00    8.54       1/1           compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                0.00    0.00       1/42          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [146]
-----------------------------------------------
                0.00    8.54       1/1           main [1]
[2]     89.6    0.00    8.54       1         compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
                1.74    5.29      40/40          classify_clusters(std::vector<long, std::allocator<long> >&) [3]
                0.00    0.90      40/40          is_there_a_percolating(std::vector<long, std::allocator<long> > const&) [12]
                0.00    0.61      40/40          fill_matrix(std::vector<long, std::allocator<long> >&, int, double) [19]
                0.01    0.00       1/81          std::vector<double, std::allocator<double> >::~vector() [20]
                0.00    0.00       1/1           compute_mean(std::vector<double, std::allocator<double> > const&) [50]
                0.00    0.00      40/40          int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&) [166]
                0.00    0.00       4/44          std::vector<double, std::allocator<double> >::operator[](unsigned long) [144]
                0.00    0.00       1/1           std::allocator<long>::allocator() [208]
                0.00    0.00       1/1           std::ios_base::precision(long) [241]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::vector(unsigned long, long const&, std::allocator<long> const&) [239]
                0.00    0.00       1/3           std::allocator<long>::~allocator() [193]
                0.00    0.00       1/81          std::allocator<double>::allocator() [120]
                0.00    0.00       1/1           std::vector<double, std::allocator<double> >::vector(unsigned long, double const&, std::allocator<double> const&) [235]
                0.00    0.00       1/163         std::allocator<double>::~allocator() [105]
                0.00    0.00       1/42          std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::mersenne_twister_engine(unsigned long) [146]
                0.00    0.00       1/1           std::uniform_int_distribution<int>::uniform_int_distribution(int, int) [226]
                0.00    0.00       1/1           standard_deviation(std::vector<double, std::allocator<double> > const&, double) [201]
                0.00    0.00       1/1           std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::steady_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&) [232]
                0.00    0.00       1/1           std::chrono::duration<double, std::ratio<1l, 1l> >::duration<long, std::ratio<1l, 1000000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&) [229]
                0.00    0.00       1/2           std::chrono::duration<double, std::ratio<1l, 1l> >::count() const [197]
                0.00    0.00       1/1           std::vector<long, std::allocator<long> >::~vector() [240]
-----------------------------------------------
                1.74    5.29      40/40          compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
[3]     73.8    1.74    5.29      40         classify_clusters(std::vector<long, std::allocator<long> >&) [3]
                0.00    3.99   62058/62058       bool std::none_of<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [5]
                1.08    0.00 1283382352/1419361570     std::vector<long, std::allocator<long> >::operator[](unsigned long) [9]
                0.09    0.11   16289/16289       find_nonclassified_cluster(std::vector<long, std::allocator<long> >&) [26]
                0.01    0.01  400464/400464      attach_neighbours(std::vector<long, std::allocator<long> >&, long) [33]
                0.00    0.00   62058/62058       std::vector<long, std::allocator<long> >::end() [80]
                0.00    0.00   62058/62058       std::vector<long, std::allocator<long> >::begin() [81]
                0.00    0.00      40/417007      std::vector<long, std::allocator<long> >::size() const [70]
-----------------------------------------------
                0.00    3.99   62058/62058       bool std::none_of<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [5]
[4]     41.8    0.00    3.99   62058         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [4]
                0.00    3.99   62058/62058       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>) [6]
                0.00    0.00   62058/62058       __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> __gnu_cxx::__ops::__pred_iter<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [78]
-----------------------------------------------
                0.00    3.99   62058/62058       classify_clusters(std::vector<long, std::allocator<long> >&) [3]
[5]     41.8    0.00    3.99   62058         bool std::none_of<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [5]
                0.00    3.99   62058/62058       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [4]
                0.00    0.00   62058/62058       bool __gnu_cxx::operator==<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [79]
-----------------------------------------------
                0.00    3.99   62058/62058       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}) [4]
[6]     41.8    0.00    3.99   62058         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>) [6]
                0.78    3.21   62058/62058       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>, std::random_access_iterator_tag) [7]
                0.00    0.00   62058/62058       std::iterator_traits<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [82]
-----------------------------------------------
                0.78    3.21   62058/62058       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>) [6]
[7]     41.8    0.78    3.21   62058         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>, std::random_access_iterator_tag) [7]
                1.08    1.09 586776503/586776503     bool __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >) [8]
                0.91    0.00 586730694/586730694     __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++() [11]
                0.13    0.00   78307/78307       __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::difference_type __gnu_cxx::operator-<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&) [27]
-----------------------------------------------
                1.08    1.09 586776503/586776503     __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>, std::random_access_iterator_tag) [7]
[8]     22.7    1.08    1.09 586776503         bool __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >) [8]
                0.63    0.00 586776503/586776503     classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}::operator()(int) const [18]
                0.46    0.00 586776503/586776503     __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator*() const [23]
-----------------------------------------------
                0.00    0.00  655360/1419361570     fill_matrix(std::vector<long, std::allocator<long> >&, int, double) [19]
                0.00    0.00 2357654/1419361570     attach_neighbours(std::vector<long, std::allocator<long> >&, long)::{lambda(long&)#1}::operator()(long&) const [38]
                0.11    0.00 132966204/1419361570     find_nonclassified_cluster(std::vector<long, std::allocator<long> >&) [26]
                1.08    0.00 1283382352/1419361570     classify_clusters(std::vector<long, std::allocator<long> >&) [3]
[9]     12.5    1.20    0.00 1419361570         std::vector<long, std::allocator<long> >::operator[](unsigned long) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     9.9    0.94    0.00                 _init [10]
-----------------------------------------------
                0.91    0.00 586730694/586730694     __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>, std::random_access_iterator_tag) [7]
[11]     9.5    0.91    0.00 586730694         __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator++() [11]
-----------------------------------------------
                0.00    0.90      40/40          compute_mean_and_standard_deviation_for_percolating_probability(long, double, int, int, int) [2]
[12]     9.4    0.00    0.90      40         is_there_a_percolating(std::vector<long, std::allocator<long> > const&) [12]
                0.01    0.89      40/40          number_of_last_cluster(std::vector<long, std::allocator<long> > const&) [13]
                0.00    0.00     134/134         is_percolating(std::vector<long, std::allocator<long> > const&, long) [110]
-----------------------------------------------
                0.01    0.89      40/40          is_there_a_percolating(std::vector<long, std::allocator<long> > const&) [12]
[13]     9.4    0.01    0.89      40         number_of_last_cluster(std::vector<long, std::allocator<long> > const&) [13]
                0.00    0.89   16289/16289       bool std::none_of<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [14]
                0.00    0.00   16289/16289       std::vector<long, std::allocator<long> >::end() const [93]
                0.00    0.00   16289/16289       std::vector<long, std::allocator<long> >::begin() const [94]
                0.00    0.00      40/417007      std::vector<long, std::allocator<long> >::size() const [70]
-----------------------------------------------
                0.00    0.89   16289/16289       number_of_last_cluster(std::vector<long, std::allocator<long> > const&) [13]
[14]     9.3    0.00    0.89   16289         bool std::none_of<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [14]
                0.00    0.88   16289/16289       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [15]
                0.01    0.00   16289/16289       bool __gnu_cxx::operator==<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&) [42]
-----------------------------------------------
                0.00    0.88   16289/16289       bool std::none_of<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [14]
[15]     9.2    0.00    0.88   16289         __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [15]
                0.00    0.88   16289/16289       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>) [16]
                0.00    0.00   16289/16289       __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> __gnu_cxx::__ops::__pred_iter<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [92]
-----------------------------------------------
                0.00    0.88   16289/16289       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}) [15]
[16]     9.2    0.00    0.88   16289         __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>) [16]
                0.17    0.71   16289/16289       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>, std::random_access_iterator_tag) [17]
                0.00    0.00   16289/16289       std::iterator_traits<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&) [95]
-----------------------------------------------
                0.17    0.71   16289/16289       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>) [16]
[17]     9.2    0.17    0.71   16289         __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>, std::random_access_iterator_tag) [17]
                0.21    0.22 132966204/132966204     bool __gnu_cxx::__ops::_Iter_pred<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >) [24]
                0.28    0.00 132949955/132949955     __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::operator++() [25]
                0.00    0.00   16329/16329       __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::difference_type __gnu_cxx::operator-<long const*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > > const&) [90]
-----------------------------------------------
                0.63    0.00 586776503/586776503     bool __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>::operator()<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >) [8]
