Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      9.53     0.00  1966080     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.53     0.00  1310760     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      9.53     0.00  1310724     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator*() const
  0.00      9.53     0.00  1310720     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator+=(long)
  0.00      9.53     0.00  1310720     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const&) const
  0.00      9.53     0.00  1310720     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      9.53     0.00  1310720     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, long>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >&, long)
  0.00      9.53     0.00  1310720     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, long>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >&, long, std::random_access_iterator_tag)
  0.00      9.53     0.00   655360     0.00     0.00  __gnu_cxx::__ops::__iter_less_val()
  0.00      9.53     0.00   655360     0.00     0.00  bool __gnu_cxx::operator==<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      9.53     0.00   655360     0.00     0.00  std::vector<double, std::allocator<double> >::empty() const
  0.00      9.53     0.00   655360     0.00     0.00  int std::discrete_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.53     0.00   655360     0.00     0.00  int std::discrete_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::discrete_distribution<int>::param_type const&)
  0.00      9.53     0.00   655360     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.53     0.00   655360     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      9.53     0.00   655360     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, std::random_access_iterator_tag)
  0.00      9.53     0.00   655360     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::lower_bound<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      9.53     0.00   655360     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > std::__lower_bound<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double, __gnu_cxx::__ops::_Iter_less_val>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const&, __gnu_cxx::__ops::_Iter_less_val)
  0.00      9.53     0.00   655360     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      9.53     0.00   417007     0.00     0.00  std::vector<long, std::allocator<long> >::size() const
  0.00      9.53     0.00   400638     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<unsigned long>::__value, double>::__type std::sqrt<unsigned long>(unsigned long)
  0.00      9.53     0.00   400468     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::operator++()
  0.00      9.53     0.00   280730     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const
  0.00      9.53     0.00   124116     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator(long* const&)
  0.00      9.53     0.00   124116     0.00     0.00  std::remove_reference<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}&>::type&& std::move<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}&>(classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}&)
  0.00      9.53     0.00    65236     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::base() const
  0.00      9.53     0.00    62058     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>::_Iter_pred(classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1})
  0.00      9.53     0.00    62058     0.00     0.00  __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> __gnu_cxx::__ops::__pred_iter<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1})
  0.00      9.53     0.00    62058     0.00     0.00  bool __gnu_cxx::operator==<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      9.53     0.00    62058     0.00     0.00  std::vector<long, std::allocator<long> >::end()
  0.00      9.53     0.00    62058     0.00     0.00  std::vector<long, std::allocator<long> >::begin()
  0.00      9.53     0.00    62058     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > const&)
  0.00      9.53     0.00    62058     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1})
  0.00      9.53     0.00    62058     0.00     0.00  bool std::none_of<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1})
  0.00      9.53     0.00    62058     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > > std::__find_if<__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}> >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >, __gnu_cxx::__ops::_Iter_pred<classify_clusters(std::vector<long, std::allocator<long> >&)::{lambda(int)#1}>)
  0.00      9.53     0.00    58624     0.00     0.00  std::vector<long, std::allocator<long> >::operator[](unsigned long) const
  0.00      9.53     0.00    32578     0.00     0.00  __gnu_cxx::__normal_iterator<long const*, std::vector<long, std::allocator<long> > >::__normal_iterator(long const* const&)
  0.00      9.53     0.00    32578     0.00     0.00  std::remove_reference<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}&>::type&& std::move<number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}&>(number_of_last_cluster(std::vector<long, std::allocator<long> > const&)::{lambda(int)#1}&)
  0.00      9.53     0.00    26208     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      9.53     0.00    26208     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
